0.00E+00	-0.015291	0.249076
5.00E-05	-0.013841	0.249427
1.00E-04	-0.013606	0.249006
0.0267		-0.01023	0.268544
0.02675		-0.010294	0.268422
0.0268		-0.010263	0.268439
0.02685		-0.010246	0.268362
0.0269		-0.010271	0.268329
0.02695		-0.010291	0.268223
0.027		-0.010334	0.268233
0.02705		-0.010333	0.268204
0.0271		-0.010289	0.271179
0.02715		-0.010327	0.273207
0.0272		-0.010271	0.273204
0.02725		-0.010682	0.273338
0.0273		-0.011239	0.273197
0.02735		-0.011289	0.273192
0.0274		-0.011369	0.273082
0.02745		-0.011243	0.273118
0.0275		-0.011278	0.273031
0.02755		-0.011292	0.273145
0.0276		-0.0113	0.273011
0.02765		-0.011232	0.273013
0.0277		-0.011347	0.27292
0.02775		-0.011209	0.272949
0.0278		-0.011422	0.272787
0.02785		-0.011211	0.272816
0.0279		-0.012344	0.272656
0.02795		-0.015048	0.272838
0.028		-0.015454	0.27259
0.02805		-0.015584	0.272738
0.0281		-0.015541	0.272476
0.02815		-0.01553	0.27272
0.0282		-0.015512	0.272235
0.02825		-0.015619	0.272793
0.0283		-0.015579	0.27193
0.02835		-0.015567	0.273407
0.0284		-0.015508	0.266493
0.02845		-0.015539	0.248089
0.0285		-0.015574	0.244838
0.02855		-0.015473	0.243757
0.0286		-0.01338	0.243936
0.02865		-0.012538	0.243643
0.0287		-0.012456	0.243739
0.02875		-0.012503	0.243535
0.0288		-0.012366	0.243673
0.02885		-0.012418	0.24357
0.0289		-0.012397	0.243584
0.02895		-0.012489	0.243474
0.029		-0.012301	0.243479
0.02905		-0.012455	0.242879
0.0291		-0.012349	0.231094
0.02915		-0.012552	0.224788
0.0292		-0.012091	0.224738
0.02925		-0.015048	0.224046
0.0293		-0.019061	0.224422
0.02935		-0.019275	0.223987
0.0294		-0.019592	0.224335
0.02945		-0.019453	0.223832
0.0295		-0.019572	0.224354
0.02955		-0.019474	0.223724
0.0296		-0.019531	0.224417
0.02965		-0.019501	0.223352
0.0297		-0.019545	0.224767
0.02975		-0.019568	0.206283
0.0298		-0.019519	0.190703
0.02985		-0.01957	0.190368
0.0299		-0.018977	0.188808
0.02995		-0.017675	0.189659
0.03		-0.017478	0.188763
0.03005		-0.01739	0.189507
0.0301		-0.017431	0.188801
0.03015		-0.01743	0.189491
0.0302		-0.017387	0.188648
0.03025		-0.017397	0.189532
0.0303		-0.017421	0.188254
0.03035		-0.017435	0.19023
0.0304		-0.017412	0.180411
0.03045		-0.017378	0.160817
0.0305		-0.01742	0.158477
0.03055		-0.017208	0.157029
0.0306		-0.015938	0.157654
0.03065		-0.015479	0.156892
0.0307		-0.015494	0.157443
0.03075		-0.015434	0.156782
0.0308		-0.015421	0.157429
0.03085		-0.015376	0.156601
0.0309		-0.015397	0.157641
0.03095		-0.015423	0.15637
0.031		-0.015414	0.158522
0.03105		-0.01543	0.148693
0.0311		-0.015461	0.113429
0.03115		-0.015413	0.105057
0.0312		-0.015419	0.103599
0.03125		-0.015923	0.103451
0.0313		-0.016273	0.103227
0.03135		-0.016233	0.103305
0.0314		-0.016284	0.103279
0.03145		-0.0163	0.103232
0.0315		-0.016304	0.103312
0.03155		-0.01629	0.103117
0.0316		-0.016255	0.103373
0.03165		-0.01629	0.102991
0.0317		-0.016273	0.102837
0.03175		-0.016252	0.083879
0.0318		-0.016273	0.07254
0.03185		-0.01627	0.072399
0.0319		-0.016253	0.071264
0.03195		-0.016273	0.0719
0.032		-0.016307	0.071246
0.03205		-0.016216	0.07176
0.0321		-0.016234	0.071195
0.03215		-0.01633	0.071796
0.0322		-0.016299	0.071177
0.03225		-0.01633	0.071958
0.0323		-0.016315	0.07079
0.03235		-0.016274	0.072557
0.0324		-0.016273	0.061777
0.03245		-0.016262	0.047167
0.0325		-0.016185	0.046249
0.03255		-0.016397	0.044923
0.0326		-0.017154	0.045551
0.03265		-0.017264	0.044892
0.0327		-0.017284	0.0455
0.03275		-0.017271	0.044882
0.0328		-0.017275	0.045417
0.03285		-0.017331	0.0448
0.0329		-0.017294	0.045562
0.03295		-0.017339	0.044515
0.033		-0.017339	0.046401
0.03305		-0.017323	0.038484
