0.01905		-0.003212	0.052465
0.0191		-0.004812	0.051139
0.01915		-0.006314	0.050549
0.0192		-0.006406	0.050577
0.01925		-0.006578	0.050484
0.0193		-0.00651	0.050551
0.01935		-0.006487	0.050406
0.0194		-0.006424	0.050619
0.01945		-0.006553	0.050464
0.0195		-0.006553	0.050645
0.01955		-0.006539	0.050393
0.0196		-0.006556	0.050645
0.01965		-0.006414	0.05024
0.0197		-0.006672	0.0508
0.01975		-0.00551	0.043762
0.0198		-0.003529	0.037385
0.01985		-0.003327	0.03719
0.0199		-0.003234	0.036625
0.01995		-0.0033	0.036949
0.02		-0.003304	0.036617
0.02005		-0.003309	0.036887
0.0201		-0.003189	0.036602
0.02015		-0.003264	0.036901
0.0202		-0.003218	0.036592
0.02025		-0.003318	0.036872
0.0203		-0.00325	0.036452
0.02035		-0.003283	0.037098
0.0204		-0.003126	0.034293
0.02045		-0.00245	0.02928
0.0205		-0.002294	0.028601
0.02055		-0.002232	0.028309
0.0206		-0.002277	0.028346
0.02065		-0.00227	0.028331
0.0207		-0.002296	0.028272
0.02075		-0.002237	0.028387
0.0208		-0.002276	0.028323
0.02085		-0.002226	0.028446
0.0209		-0.002259	0.028202
0.02095		-0.002248	0.028509
0.021		-0.002273	0.027827
0.02105		-0.002314	0.031205
0.0211		-0.004262	0.042223
0.02115		-0.005267	0.044468
0.0212		-0.00534	0.045155
0.02125		-0.005488	0.044889
0.0213		-0.005481	0.045118
0.02135		-0.005496	0.044894
0.0214		-0.00544	0.045145
0.02145		-0.00553	0.044875
0.0215		-0.005412	0.045101
0.02155		-0.005422	0.044805
0.0216		-0.005438	0.045211
0.02165		-0.005423	0.044786
0.0217		-0.005495	0.044021
0.02175		-0.004983	0.014031
0.0218		-0.004516	-0.002152
0.02185		-0.004484	-0.002395
0.0219		-0.004446	-0.003987
0.02195		-0.004483	-0.003042
0.022		-0.00442	-0.003863
0.02205		-0.004471	-0.003189
0.0221		-0.004449	-0.003845
0.02215		-0.004409	-0.003097
0.0222		-0.004412	-0.003956
0.02225		-0.004414	-0.002926
0.0223		-0.004421	-0.004281
0.02235		-0.004349	-0.00206
0.0224		-0.004656	-0.013693
0.02245		-0.006029	-0.033852
0.0225		-0.006354	-0.035911
0.02255		-0.00646	-0.03732
0.0226		-0.006467	-0.036718
0.02265		-0.006462	-0.037323
0.0227		-0.006487	-0.036834
0.02275		-0.006458	-0.037285
0.0228		-0.006461	-0.03671
0.02285		-0.00653	-0.037323
0.0229		-0.006478	-0.036679
0.02295		-0.006546	-0.037456
0.023		-0.006472	-0.036184
0.02305		-0.006512	-0.042225
0.0231		-0.004561	-0.053981
0.02315		-0.003292	-0.05528
0.0232		-0.003333	-0.056085
0.02325		-0.003205	-0.055726
0.0233		-0.003227	-0.056108
0.02335		-0.00319	-0.055818
0.0234		-0.003218	-0.05606
0.02345		-0.003224	-0.055819
0.0235		-0.003224	-0.056107
0.02355		-0.003128	-0.055741
0.0236		-0.003231	-0.056284
0.02365		-0.003182	-0.055259
0.0237		-0.003271	-0.059384
0.02375		-0.002698	-0.074636
0.0238		-0.002224	-0.078239
0.02385		-0.002241	-0.078864
0.0239		-0.002261	-0.0788
0.02395		-0.002261	-0.078971
0.024		-0.002246	-0.078809
0.02405		-0.002147	-0.07896
0.0241		-0.002199	-0.078717
0.02415		-0.002191	-0.078979
0.0242		-0.002191	-0.07872
0.02425		-0.0022	-0.079081
0.0243		-0.002195	-0.078613
0.02435		-0.002178	-0.079166
0.0244		-0.002158	-0.072462
0.02445		-0.002214	-0.067743
0.0245		-0.002211	-0.067547
0.02455		-0.002228	-0.067384
0.0246		-0.002222	-0.06725
0.02465		-0.002232	-0.067347
0.0247		-0.002191	-0.067118
0.02475		-0.002182	-0.067477
0.0248		-0.002247	-0.066918
0.02485		-0.002188	-0.067642
0.0249		-0.002198	-0.066664
0.02495		-0.002169	-0.068066
0.025		-0.002151	-0.065505
0.02505		-0.002304	-0.079681
0.0251		-0.002923	-0.102505
0.02515		-0.003187	-0.104552
0.0252		-0.003171	-0.106181
0.02525		-0.003163	-0.105512
0.0253		-0.003154	-0.106031
0.02535		-0.003212	-0.105645
0.0254		-0.003244	-0.105968
0.02545		-0.003212	-0.10572
0.0255		-0.003246	-0.105845
0.02555		-0.003196	-0.10582
0.0256		-0.00322	-0.10566
0.02565		-0.003168	-0.106171
0.0257		-0.003098	-0.102623
0.02575		-0.001098	-0.087875
0.0258		-0.000173	-0.084464
0.02585		-0.000167	-0.083749
0.0259		-0.000117	-0.083919
0.02595		-9.46E-05	-0.083488
0.026		-0.000103	-0.083799
0.02605		-0.000103	-0.083383
0.0261		-5.48E-05	-0.083799
0.02615		-8.64E-05	-0.083377
0.0262		-0.000169	-0.083891
0.02625		-0.000118	-0.083135
0.0263		-0.000218	-0.083934
0.02635		-0.000121	-0.083565
0.0264		-0.000795	-0.112734
0.02645		-0.001997	-0.130391
0.0265		-0.002113	-0.130857
0.02655		-0.002184	-0.13231
0.0266		-0.002174	-0.131595
0.02665		-0.002196	-0.132107
0.0267		-0.002159	-0.131822
0.02675		-0.002182	-0.131955
0.0268		-0.002209	-0.131884
0.02685		-0.002276	-0.131835
0.0269		-0.002259	-0.131951
0.02695		-0.002188	-0.131529
0.027		-0.002193	-0.131942
0.02705		-0.002161	-0.118681
0.0271		-0.002155	-0.109175
0.02715		-0.00214	-0.109023
0.0272		-0.002124	-0.1082
0.02725		-0.002189	-0.108546
0.0273		-0.002172	-0.108259
0.02735		-0.002225	-0.108366
0.0274		-0.002226	-0.10831
0.02745		-0.002251	-0.108276
0.0275		-0.002273	-0.108477
0.02755		-0.002177	-0.108063
0.0276		-0.002103	-0.108683
0.02765		-0.002166	-0.107446
0.0277		-0.002368	-0.114338
0.02775		-0.003786	-0.125763
0.0278		-0.00429	-0.126543
0.02785		-0.004339	-0.127418
0.0279		-0.004346	-0.126971
0.02795		-0.004425	-0.127333
0.028		-0.004264	-0.127124
0.02805		-0.004431	-0.127291
0.0281		-0.004379	-0.127054
0.02815		-0.004447	-0.127242
0.0282		-0.004339	-0.127167
0.02825		-0.004388	-0.127223
0.0283		-0.00428	-0.127116
0.02835		-0.004471	-0.12665
0.0284		-0.002373	-0.12101
0.02845		-0.00034	-0.118764
0.0285		-0.000226	-0.118634
0.02855		-8.23E-05	-0.118466
0.0286		-0.000125	-0.118449
0.02865		2.60E-05	-0.11843
0.0287		-7.54E-05	-0.118541
0.02875		-7.68E-05	-0.118411
0.0288		-7.13E-05	-0.118481
0.02885		-2.60E-05	-0.11833
0.0289		-0.000122	-0.118507
0.02895		-9.46E-05	-0.118287
0.029		-0.0001	-0.118378
0.02905		-7.81E-05	-0.115169
0.0291		-9.73E-05	-0.11322
0.02915		-6.85E-05	-0.113148
0.0292		-8.50E-05	-0.113019
0.02925		-0.000125	-0.112975
0.0293		-0.000144	-0.113019
0.02935		-7.95E-05	-0.112926
0.0294		-0.000101	-0.112997
0.02945		-5.62E-05	-0.112896
0.0295		-9.32E-05	-0.11305
0.02955		-6.03E-05	-0.112675
0.0296		-9.46E-05	-0.113138
0.02965		9.60E-06	-0.11238
0.0297		-0.000544	-0.116383
0.02975		-0.002628	-0.121609
0.0298		-0.00308	-0.122061
0.02985		-0.003219	-0.122326
0.0299		-0.003187	-0.122274
0.02995		-0.003204	-0.122211
0.03		-0.003159	-0.122301
0.03005		-0.003207	-0.12207
0.0301		-0.0031	-0.122388
0.03015		-0.003264	-0.121976
0.0302		-0.00315	-0.122666
0.03025		-0.003264	-0.121636
0.0303		-0.003065	-0.123436
0.03035		-0.003337	-0.114578
0.0304		-0.00017	-0.081137
0.03045		0.002638	-0.073272
0.0305		0.002764	-0.071716
0.03055		0.002921	-0.071723
0.0306		0.002795	-0.0715
0.03065		0.002934	-0.071672
0.0307		0.002921	-0.071509
0.03075		0.002982	-0.071674
0.0308		0.002875	-0.071522
0.03085		0.002873	-0.071531
0.0309		0.002879	-0.071459
0.03095		0.002879	-0.07162
0.031		0.002956	-0.070526
0.03105		0.00245	-0.057154
0.0311		0.001886	-0.05097
0.03115		0.001895	-0.050867
0.0312		0.001789	-0.050283
0.03125		0.001775	-0.05063
0.0313		0.00181	-0.050273
0.03135		0.001874	-0.050615
0.0314		0.001773	-0.050205
0.03145		0.001842	-0.050659
0.0315		0.001808	-0.050034
0.03155		0.00181	-0.050847
0.0316		0.001836	-0.049787
0.03165		0.001849	-0.051251
0.0317		0.00183	-0.037747
0.03175		0.001815	-0.02429
0.0318		0.001829	-0.023857
0.03185		0.001841	-0.022649
0.0319		0.001869	-0.023329
0.03195		0.001821	-0.022753
0.032		0.001814	-0.02314
0.03205		0.001815	-0.022757
0.0321		0.001841	-0.023107
0.03215		0.001844	-0.022841
0.0322		0.00186	-0.023056
0.03225		0.001853	-0.022749
0.0323		0.001779	-0.023256
0.03235		0.001862	-0.021383
0.0324		0.003929	-0.015187
0.03245		0.004931	-0.013752
0.0325		0.005	-0.013516
0.03255		0.00509	-0.013492
0.0326		0.005026	-0.013399
0.03265		0.005137	-0.013398
0.0327		0.005035	-0.01339
0.03275		0.005049	-0.013457
0.0328		0.005071	-0.01341
0.03285		0.005013	-0.013381
0.0329		0.005075	-0.013446
0.03295		0.005011	-0.013553
0.033		0.005023	-0.013099
0.03305		0.004383	-0.010327
0.0331		0.003947	-0.009236
0.03315		0.003899	-0.009273
0.0332		0.003843	-0.009126
0.03325		0.003913	-0.009362
0.0333		0.003902	-0.009273
0.03335		0.003926	-0.009351
0.0334		0.003897	-0.009047
0.03345		0.003885	-0.009361
0.0335		0.003882	-0.009043
0.03355		0.003804	-0.009454
0.0336		0.003925	-0.00883
0.03365		0.003833	-0.009835
0.0337		0.004434	-0.001803
0.03375		0.005804	0.007685
0.0338		0.006029	0.007899
0.03385		0.006084	0.00897
0.0339		0.006039	0.008261
0.03395		0.006094	0.008938
0.034		0.006073	0.008306
0.03405		0.006092	0.008904
0.0341		0.006032	0.008209
0.03415		0.006094	0.009141
0.0342		0.006047	0.008018
0.03425		0.006098	0.009429
0.0343		0.006017	0.007007
0.03435		0.006102	0.019609
0.0344		0.004221	0.041861
0.03445		0.002998	0.044172
0.0345		0.002921	0.045709
0.03455		0.002828	0.045155
0.0346		0.002935	0.045688
0.03465		0.002887	0.045295
0.0347		0.002873	0.045629
0.03475		0.002872	0.045324
0.0348		0.002851	0.045535
0.03485		0.002858	0.045318
0.0349		0.002825	0.045439
0.03495		0.00286	0.045337
0.035		0.002894	0.045506
0.03505		0.004912	0.046152
0.0351		0.005954	0.046449
0.03515		0.005944	0.046437
0.0352		0.006037	0.046486
0.03525		0.00597	0.046482
0.0353		0.00605	0.046456
0.03535		0.006002	0.046341
0.0354		0.006003	0.046423
0.03545		0.005985	0.046472
0.0355		0.005976	0.046371
0.03555		0.006081	0.046478
0.0356		0.006018	0.046363
0.03565		0.006069	0.046511
0.0357		0.005168	0.047041
0.03575		0.003981	0.047533
0.0358		0.003897	0.047284
0.03585		0.003848	0.047536
0.0359		0.003926	0.047247
0.03595		0.003856	0.047579
0.036		0.003821	0.047126
0.03605		0.003804	0.047682
0.0361		0.003807	0.046991
0.03615		0.003806	0.047813
0.0362		0.003819	0.046718
0.03625		0.003788	0.048255
0.0363		0.003858	0.045762
0.03635		0.003899	0.066348
0.0364		0.003888	0.088149
0.03645		0.003893	0.088957
0.0365		0.003862	0.090883
0.03655		0.003839	0.089829
0.0366		0.003784	0.090723
0.03665		0.003836	0.089945
0.0367		0.003865	0.090546
0.03675		0.003817	0.090021
0.0368		0.003836	0.090503
0.03685		0.00384	0.089936
0.0369		0.003892	0.090469
0.03695		0.003822	0.089764
0.037		0.003819	0.092432
0.03705		0.003877	0.098363
0.0371		0.00385	0.099399
0.03715		0.003859	0.099595
0.0372		0.003836	0.099581
0.03725		0.003855	0.099646
0.0373		0.003812	0.09961
0.03735		0.003829	0.09964
0.0374		0.003706	0.099591
0.03745		0.003782	0.099566
0.0375		0.003785	0.099565
0.03755		0.00386	0.099551
0.0376		0.00376	0.09955
0.03765		0.003908	0.099166
0.0377		0.00276	0.095704
0.03775		0.001863	0.094346
0.0378		0.001842	0.094325
0.03785		0.001726	0.094236
0.0379		0.001734	0.094257
0.03795		0.001648	0.094163
0.038		0.001733	0.094139
0.03805		0.001704	0.0941
0.0381		0.001766	0.094077
0.03815		0.00177	0.094132
0.0382		0.001763	0.094111
0.03825		0.001752	0.094055
0.0383		0.001755	0.094098
0.03835		0.001779	0.094447
0.0384		0.001737	0.09505
0.03845		0.001725	0.094946
0.0385		0.00179	0.094994
0.03855		0.001768	0.094904
0.0386		0.001795	0.095002
0.03865		0.00177	0.094933
0.0387		0.001781	0.095039
0.03875		0.001741	0.09488
0.0388		0.001729	0.095023
0.03885		0.001679	0.094843
0.0389		0.001703	0.095066
0.03895		0.001737	0.09465
0.039		0.001593	0.096916
0.03905		0.000924	0.100557
0.0391		0.000812	0.100863
0.03915		0.000739	0.101015
0.0392		0.000696	0.101011
0.03925		0.000749	0.10104
0.0393		0.000754	0.10105
0.03935		0.000758	0.100986
0.0394		0.000738	0.101032
0.03945		0.00071	0.10086
0.0395		0.000674	0.101066
0.03955		0.000724	0.100778
0.0396		0.000744	0.101315
0.03965		0.000801	0.098585
0.0397		0.000749	0.09031
0.03975		0.000709	0.088772
0.0398		0.000743	0.088269
0.03985		0.000746	0.088411
0.0399		0.000714	0.088201
0.03995		0.000695	0.088366
0.04		0.00068	0.08819
0.04005		0.000666	0.088411
0.0401		0.000716	0.088108
0.04015		0.000699	0.088338
0.0402		0.000629	0.088056
0.04025		0.000635	0.088345
0.0403		0.00069	0.088814
0.04035		0.00077	0.105398
0.0404		0.000731	0.113644
0.04045		0.000732	0.113991
0.0405		0.000674	0.114413
0.04055		0.000683	0.114357
0.0406		0.000681	0.114321
0.04065		0.000676	0.114436
0.0407		0.000705	0.114277
0.04075		0.000683	0.114449
0.0408		0.000717	0.114003
0.04085		0.000699	0.114774
0.0409		0.000653	0.113629
0.04095		0.000694	0.115455
0.041		0.000684	0.104581
0.04105		0.000739	0.087319
0.0411		0.000764	0.085822
0.04115		0.000712	0.084486
0.0412		0.000691	0.085043
0.04125		0.000681	0.084533
0.0413		0.000727	0.084858
0.04135		0.000707	0.084582
0.0414		0.000679	0.084733
0.04145		0.000646	0.08466
0.0415		0.000724	0.084681
0.04155		0.000683	0.084788
0.0416		0.000677	0.084378
0.04165		0.000462	0.086584
0.0417		-0.001463	0.092775
0.04175		-0.002185	0.093786
0.0418		-0.002236	0.094159
0.04185		-0.002333	0.093939
0.0419		-0.002259	0.094025
0.04195		-0.002267	0.094014
0.042		-0.00228	0.093989
0.04205		-0.00223	0.093958
0.0421		-0.002294	0.093939
0.04215		-0.002292	0.093969
0.0422		-0.002302	0.093987
0.04225		-0.002262	0.093922
0.0423		-0.002321	0.093947
0.04235		-0.001796	0.093906
0.0424		-0.001224	0.093844
0.04245		-0.001241	0.093915
0.0425		-0.001221	0.093837
0.04255		-0.001169	0.093847
